D3C,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1981-01-01,2,Grande Região,24,Cabeças,35044971.0,3,Sudeste,105,Efetivo dos rebanhos,1981-01-01,1981-01-01,2670,Bovino
1982-01-01,2,Grande Região,24,Cabeças,35137299.0,3,Sudeste,105,Efetivo dos rebanhos,1982-01-01,1982-01-01,2670,Bovino
1983-01-01,2,Grande Região,24,Cabeças,35084928.0,3,Sudeste,105,Efetivo dos rebanhos,1983-01-01,1983-01-01,2670,Bovino
1984-01-01,2,Grande Região,24,Cabeças,34987624.0,3,Sudeste,105,Efetivo dos rebanhos,1984-01-01,1984-01-01,2670,Bovino
1985-01-01,2,Grande Região,24,Cabeças,34620663.0,3,Sudeste,105,Efetivo dos rebanhos,1985-01-01,1985-01-01,2670,Bovino
1986-01-01,2,Grande Região,24,Cabeças,35367710.0,3,Sudeste,105,Efetivo dos rebanhos,1986-01-01,1986-01-01,2670,Bovino
1987-01-01,2,Grande Região,24,Cabeças,35657970.0,3,Sudeste,105,Efetivo dos rebanhos,1987-01-01,1987-01-01,2670,Bovino
1988-01-01,2,Grande Região,24,Cabeças,35802516.0,3,Sudeste,105,Efetivo dos rebanhos,1988-01-01,1988-01-01,2670,Bovino
1989-01-01,2,Grande Região,24,Cabeças,36235614.0,3,Sudeste,105,Efetivo dos rebanhos,1989-01-01,1989-01-01,2670,Bovino
1990-01-01,2,Grande Região,24,Cabeças,36323168.0,3,Sudeste,105,Efetivo dos rebanhos,1990-01-01,1990-01-01,2670,Bovino
1991-01-01,2,Grande Região,24,Cabeças,36723631.0,3,Sudeste,105,Efetivo dos rebanhos,1991-01-01,1991-01-01,2670,Bovino
1992-01-01,2,Grande Região,24,Cabeças,37231470.0,3,Sudeste,105,Efetivo dos rebanhos,1992-01-01,1992-01-01,2670,Bovino
1993-01-01,2,Grande Região,24,Cabeças,37626538.0,3,Sudeste,105,Efetivo dos rebanhos,1993-01-01,1993-01-01,2670,Bovino
1994-01-01,2,Grande Região,24,Cabeças,37604020.0,3,Sudeste,105,Efetivo dos rebanhos,1994-01-01,1994-01-01,2670,Bovino
1995-01-01,2,Grande Região,24,Cabeças,37168199.0,3,Sudeste,105,Efetivo dos rebanhos,1995-01-01,1995-01-01,2670,Bovino
1996-01-01,2,Grande Região,24,Cabeças,36604615.0,3,Sudeste,105,Efetivo dos rebanhos,1996-01-01,1996-01-01,2670,Bovino
1997-01-01,2,Grande Região,24,Cabeças,36977462.0,3,Sudeste,105,Efetivo dos rebanhos,1997-01-01,1997-01-01,2670,Bovino
1998-01-01,2,Grande Região,24,Cabeças,37073604.0,3,Sudeste,105,Efetivo dos rebanhos,1998-01-01,1998-01-01,2670,Bovino
1999-01-01,2,Grande Região,24,Cabeças,36898631.0,3,Sudeste,105,Efetivo dos rebanhos,1999-01-01,1999-01-01,2670,Bovino
2000-01-01,2,Grande Região,24,Cabeças,36851997.0,3,Sudeste,105,Efetivo dos rebanhos,2000-01-01,2000-01-01,2670,Bovino
2001-01-01,2,Grande Região,24,Cabeças,37118765.0,3,Sudeste,105,Efetivo dos rebanhos,2001-01-01,2001-01-01,2670,Bovino
2002-01-01,2,Grande Região,24,Cabeças,37923575.0,3,Sudeste,105,Efetivo dos rebanhos,2002-01-01,2002-01-01,2670,Bovino
2003-01-01,2,Grande Região,24,Cabeças,38711076.0,3,Sudeste,105,Efetivo dos rebanhos,2003-01-01,2003-01-01,2670,Bovino
2004-01-01,2,Grande Região,24,Cabeças,39379011.0,3,Sudeste,105,Efetivo dos rebanhos,2004-01-01,2004-01-01,2670,Bovino
2005-01-01,2,Grande Região,24,Cabeças,38943898.0,3,Sudeste,105,Efetivo dos rebanhos,2005-01-01,2005-01-01,2670,Bovino
2006-01-01,2,Grande Região,24,Cabeças,39208512.0,3,Sudeste,105,Efetivo dos rebanhos,2006-01-01,2006-01-01,2670,Bovino
2007-01-01,2,Grande Região,24,Cabeças,38586629.0,3,Sudeste,105,Efetivo dos rebanhos,2007-01-01,2007-01-01,2670,Bovino
2008-01-01,2,Grande Região,24,Cabeças,37820094.0,3,Sudeste,105,Efetivo dos rebanhos,2008-01-01,2008-01-01,2670,Bovino
2009-01-01,2,Grande Região,24,Cabeças,38016674.0,3,Sudeste,105,Efetivo dos rebanhos,2009-01-01,2009-01-01,2670,Bovino
2010-01-01,2,Grande Região,24,Cabeças,38251950.0,3,Sudeste,105,Efetivo dos rebanhos,2010-01-01,2010-01-01,2670,Bovino
2011-01-01,2,Grande Região,24,Cabeças,39335644.0,3,Sudeste,105,Efetivo dos rebanhos,2011-01-01,2011-01-01,2670,Bovino
2012-01-01,2,Grande Região,24,Cabeças,39206257.0,3,Sudeste,105,Efetivo dos rebanhos,2012-01-01,2012-01-01,2670,Bovino
2013-01-01,2,Grande Região,24,Cabeças,39341429.0,3,Sudeste,105,Efetivo dos rebanhos,2013-01-01,2013-01-01,2670,Bovino
2014-01-01,2,Grande Região,24,Cabeças,38530737.0,3,Sudeste,105,Efetivo dos rebanhos,2014-01-01,2014-01-01,2670,Bovino
2015-01-01,2,Grande Região,24,Cabeças,38812076.0,3,Sudeste,105,Efetivo dos rebanhos,2015-01-01,2015-01-01,2670,Bovino
2016-01-01,2,Grande Região,24,Cabeças,39123700.0,3,Sudeste,105,Efetivo dos rebanhos,2016-01-01,2016-01-01,2670,Bovino
2017-01-01,2,Grande Região,24,Cabeças,37550079.0,3,Sudeste,105,Efetivo dos rebanhos,2017-01-01,2017-01-01,2670,Bovino
2018-01-01,2,Grande Região,24,Cabeças,37111436.0,3,Sudeste,105,Efetivo dos rebanhos,2018-01-01,2018-01-01,2670,Bovino
